DTYPE,code,displayValue,productCd,countryCd
CountryLookupValue,B23,Beautician,,IE
CountryLookupValue,B24,Betting Shop Employee,,IE
CountryLookupValue,B25,Betting Shop Owner,,IE
CountryLookupValue,B26,Bill Poster,,IE
CountryLookupValue,B27,Bingo Caller,,IE
CountryLookupValue,B28,Bingo Hall Staff,,IE
CountryLookupValue,B29,Biochemist,,IE
CountryLookupValue,B30,Biologist,,IE
CountryLookupValue,B31,Blacksmith,,IE
CountryLookupValue,B32,Blind Assembler,,IE
CountryLookupValue,B33,Blind Fitter,,IE
CountryLookupValue,B34,Blinds Installer,,IE
CountryLookupValue,B35,Boat Builder,,IE
CountryLookupValue,B36,Body Fitter,,IE
CountryLookupValue,B37,Bodyguard,,IE
CountryLookupValue,B38,Bodyshop Manager,,IE
CountryLookupValue,B39,Boiler Maker,,IE
CountryLookupValue,B40,Boiler Man,,IE
CountryLookupValue,B41,Book Binder,,IE
CountryLookupValue,B42,Book Seller,,IE
CountryLookupValue,B43,Booking Agent,,IE
CountryLookupValue,B44,Booking Clerk,,IE
CountryLookupValue,B45,Booking Office Clerk,,IE
CountryLookupValue,B46,Book-Keeper,,IE
CountryLookupValue,B47,Bookmaker,,IE
CountryLookupValue,B48,Botanist,,IE
CountryLookupValue,B49,Box Maker,,IE
CountryLookupValue,B50,Box Office Clerk,,IE
CountryLookupValue,B51,Branch Manager,,IE
CountryLookupValue,B52,Breeder,,IE
CountryLookupValue,B53,Brewer,,IE
CountryLookupValue,B54,Brewery Manager,,IE
CountryLookupValue,B55,Brewery Worker,,IE
CountryLookupValue,B56,Bricklayer,,IE
CountryLookupValue,B57,Broadcaster,,IE
CountryLookupValue,B58,Broadcasting Engineer,,IE
CountryLookupValue,B59,Builder,,IE
CountryLookupValue,B60,Builders Labourer,,IE
CountryLookupValue,B61,Builders Merchant,,IE
CountryLookupValue,B62,Building Advisor,,IE
CountryLookupValue,B63,Building Contractor,,IE
CountryLookupValue,B64,Building Control Officer,,IE
CountryLookupValue,B65,Building Engineer,,IE
CountryLookupValue,B66,Building Estimator,,IE
CountryLookupValue,B67,Building Foreman,,IE
CountryLookupValue,B68,Building Inspector,,IE
CountryLookupValue,B69,Building Manager,,IE
CountryLookupValue,B70,Building Site Inspector,,IE
CountryLookupValue,B71,Building Society Agent,,IE
CountryLookupValue,B72,Building Society Clerk,,IE
CountryLookupValue,B73,Building Society Staff,,IE
CountryLookupValue,B74,Building Surveyor,,IE
CountryLookupValue,B75,Bursar,,IE
CountryLookupValue,B76,Bus Conductor,,IE
CountryLookupValue,B77,Bus Driver,,IE
CountryLookupValue,B78,Bus Mechanic,,IE
CountryLookupValue,B79,Bus Valeter,,IE
CountryLookupValue,B80,Business Analyst,,IE
CountryLookupValue,B81,Business Consultant,,IE
CountryLookupValue,B82,Business Proprietor,,IE
CountryLookupValue,B83,Butcher,,IE
CountryLookupValue,B84,Butchery Manager,,IE
CountryLookupValue,B85,Butler,,IE
CountryLookupValue,B86,Buyer,,IE
CountryLookupValue,C1,Cabinet Maker,,IE
CountryLookupValue,C2,Cable Contractor,,IE
CountryLookupValue,C3,Cable Jointer,,IE
CountryLookupValue,C4,Cable TV Installer,,IE
CountryLookupValue,C5,Cafe Owner,,IE
CountryLookupValue,C6,Cafe Staff,,IE
CountryLookupValue,C7,Calibration Manager,,IE
CountryLookupValue,C8,Call Centre Manager,,IE
CountryLookupValue,C9,Call Centre Staff,,IE
CountryLookupValue,C10,Calligrapher,,IE
CountryLookupValue,C11,Camera Repairer,,IE
CountryLookupValue,C12,Cameraman,,IE
CountryLookupValue,C13,Canal Boat Broker,,IE
CountryLookupValue,C14,Car Body Repairer,,IE
CountryLookupValue,C15,Car Builder,,IE
CountryLookupValue,C16,Car Dealer,,IE
CountryLookupValue,C17,Car Delivery Driver,,IE
CountryLookupValue,C18,Car Park Attendant,,IE
CountryLookupValue,C19,Car Salesman,,IE
CountryLookupValue,C20,Car Valet,,IE
CountryLookupValue,C21,Car Wash Attendant,,IE
CountryLookupValue,C22,Care Assistant,,IE
CountryLookupValue,C23,Care Manager,,IE
CountryLookupValue,C24,Careers Advisor,,IE
CountryLookupValue,C25,Careers Officer,,IE
CountryLookupValue,C26,Carer - Non Professional,,IE
CountryLookupValue,C27,Carer - Professional,,IE
CountryLookupValue,C28,Caretaker,,IE
CountryLookupValue,C29,Cargo Operator,,IE
CountryLookupValue,C30,Carpenter,,IE
CountryLookupValue,C31,Carpenters Assistant,,IE
CountryLookupValue,C32,Carpet Cleaner,,IE
CountryLookupValue,C33,Carpet Fitter,,IE
CountryLookupValue,C34,Carpet Retailer,,IE
CountryLookupValue,C35,Carpetfitter,,IE
CountryLookupValue,C36,Cartographer,,IE
CountryLookupValue,C37,Cartoonist,,IE
CountryLookupValue,C38,Cash Point Fitter,,IE
CountryLookupValue,C39,Cashier,,IE
CountryLookupValue,C40,Casual Worker,,IE
CountryLookupValue,C41,Caterer,,IE
CountryLookupValue,C42,Catering Consultant,,IE
CountryLookupValue,C43,Catering Manager,,IE
